4115,42685,4113,10208
4115,42686,4113,10211
4115,42687,4113,10212
4115,42690,1534,37536
1743,10045,936,2929
2877,20022,24,43053
2877,20024,1768,7611
2877,5239,822,35263
2877,1168,2293,35494
971,34012,86,26808
971,37987,1233,48102
971,37992,177,5823
971,37994,162,5830
971,37995,162,5832
971,37996,1513,48488
971,38002,86,9497
971,24951,42,34465
971,34002,3581,34011
971,34018,3581,34012
971,38007,4379,13448
971,38008,86,29459
971,38010,4379,26786
1425,18415,1271,18415
1425,30396,1380,2241
1080,30411,2746,6372
1080,30412,2155,36449
4926,14315,828,23249
1330,32178,4653,35174
1166,42297,2120,50760
3647,54742,42,55772
3647,41280,817,41280
696,33656,3460,38807
760,1068,394,20277
760,1069,761,34919
1141,1737,857,12551
1141,1754,1156,11447
4777,19702,2196,22027
2709,2959,276,5158
1066,1760,1159,40882
2293,35326,6500,29036
2293,35339,5199,39962
2293,35340,5199,35376
2293,35341,5199,12734
2293,35345,132,17668
2293,35351,4870,35412
2293,35352,4870,35427
2293,35353,4870,35423
2293,19098,4870,35421
2293,35354,4870,35428
2293,35355,4870,35429
2293,35356,4870,44611
2293,29632,709,19077
2293,35393,709,19078
2293,35394,709,18227
2293,35395,709,19079
2293,35396,709,19080
2293,35397,709,19081
2293,35398,132,17671
2293,35399,709,19082
2293,35400,709,19083
2293,35401,709,19084
2293,35402,709,19085
2293,35403,5802,23225
2293,35404,5802,23226
2293,35405,5802,19068
2293,35406,5802,23227
2293,35410,132,17674
2293,19521,709,19086
2293,35411,709,19087
2293,22700,709,19088
2293,35412,709,19089
2293,35413,709,18998
2293,35414,709,19090
2293,35415,709,19091
2293,35416,709,19092
2293,35417,709,19093
2293,35418,709,19094
2293,35419,709,19095
2293,35420,709,19096
2293,1030,709,19097
2293,7421,709,19098
2293,25702,709,19099
2293,35421,709,19100
2293,35431,46,13666
2293,35483,24,43102
2293,35484,24,43108
2293,18996,24,43110
2293,35506,146,21219
2293,35507,146,21221
2293,35511,521,41002
2293,35512,521,41003
3171,28469,15,22308
4160,44064,2153,15218
4160,44068,4897,48134
1191,1818,598,13993
2928,53524,2927,6029
2928,53538,187,15330
2416,5038,357,29923
65,1825,1202,1830
3127,54765,32,32599
3127,54773,1311,56014
3127,54779,1311,56015
3127,54780,1311,56016
3127,54781,1311,56017
3127,54782,1311,56018
3127,54784,1311,56019
3127,54786,2530,38177
3127,54787,1006,24113
3127,54788,1006,24114
3127,54789,1006,24115
3127,54790,1006,24116
3127,54791,1006,24139
3127,54792,1006,24140
3127,54793,1006,24141
3127,54794,1006,24142
3127,54795,1006,24143
3127,54799,1006,24144
3127,54808,1806,42875
3127,54810,1806,42876
3127,54811,1006,24148
3127,54813,1006,24150
3127,54815,1006,24152
3127,54817,1006,24153
3127,54853,2595,11741
3127,54867,1247,49501
4033,9795,1288,45032
18,39,38,20
1964,37720,30,23047
3659,8450,714,33810
3659,8451,691,3179
431,26720,1012,26716
4514,37144,329,48867
5101,4848,1356,43711
1248,16634,2491,9016
1547,46338,187,15380
1547,46340,187,15381
1547,46341,86,45497
4812,18694,1541,13397
2635,17341,148,40245
2635,44110,514,10534
6292,25692,3406,8893
52,28533,3737,55016
974,15235,3615,17534
1282,45843,296,47135
1282,19870,2725,43941
1208,40895,297,29908
6062,47741,2929,34572
2158,10133,1084,20586
2158,10134,1085,3867
2158,10135,2719,36714
152,25698,25,4926
1452,25729,50,53584
528,38018,42,49065
528,38019,42,55807
528,38030,644,11282
528,38043,1006,24105
2336,18496,2147,20472
2653,44149,517,39807
1244,1892,1246,51564
